Name,County,FIPS,Municipality,Address,Longitude,Latitude,Source,Notes
Fox Meadow Golf Center,Camden,34007,Maple Shade ,2880 Route 73 North Maple Shade  New Jersey,,,Visit South Jersey,
Little Pond Golf Center,Camden,34007,Clementon ,111 Chews Landing Road Clementon  New Jersey,,,Visit South Jersey,
Wallworth Park,Camden,34007,Cherry Hill and Haddonfield ,Kings Highway and Brace Road Cherry Hill  New Jersey,,,Visit South Jersey,
Wiggins Park Marina,Camden,34007,Camden ,Dr Martin Luther King Blvd Camden  New Jersey,,,Visit South Jersey,
Wiggins Waterfront Park,Camden,34007,Camden ,Dr. Martin Luther King Boulevard Camden  New Jersey,,,Visit South Jersey,
Valleybrook Country Club,Camden,34007,Blackwood ,200 Golfview Drive Blackwood  New Jersey,,,Visit South Jersey,
Berlin Park,Camden,34007,Berlin ,White Horse Pike Berlin  New Jersey,,,Visit South Jersey,
Camden County Golf Academy,Camden,34007,Pennsauken ,8001 South Route 130 Pennsauken  New Jersey,,,Visit South Jersey,
Challenge Grove Park,Camden,34007,Cherry Hill ,Bortons Mill & Caldwell Roads Cherry Hill  New Jersey,,,Visit South Jersey,
Cooper River Park,Camden,34007,Collingswood ,579 S Park Drive Collingswood  New Jersey,,,Visit South Jersey,
Haddon Lake Park,Camden,34007,Haddon Heights,Station Avenue to 10th Avenue and from Kings Highway to the Black Horse Pike Haddon Heights New Jersey,,,Visit South Jersey,
Hopkins Pond,Camden,34007,Haddonfield ,Off Grove Street and Hopkins Lane Haddonfield  New Jersey,,,Visit South Jersey,
Pennypacker Park,Camden,34007,Haddonfield ,Kings Highway Haddonfield  New Jersey,,,Visit South Jersey,
Walt Whitman House,Camden,34007,Camden ,330 Mickle Boulevard Camden  New Jersey,,,Visit South Jersey,
Battleship New Jersey,Camden,34007,Camden ,62 Battleship Place Camden  New Jersey,,,Visit South Jersey,
Camden Shipyard & Maritime Museum,Camden,34007,Camden ,1910 Broadway Camden  New Jersey,,,Visit South Jersey,
Indian King Tavern Museum,Camden,34007,Haddonfield ,233 Kings Highway East Haddonfield  New Jersey,,,Visit South Jersey,
Hadrosaurus,Camden,34007,Haddonfield ,2 King's Court Haddonfield  New Jersey,,,Visit South Jersey,
Peter Mott House,Camden,34007,Lawnside ,26 Kings Court Lawnside  New Jersey,,,Visit South Jersey,
